,person,cluster,centroid_latitude,centroid_longitude,count,count_per_person,mean_duration_mins_weekend,mean_duration_mins_workday,mean_start_mins_of_day_weekend,mean_start_mins_of_day_workday,std_duration_mins_weekend,std_duration_mins_workday,std_start_mins_of_day_weekend,std_start_mins_of_day_workday,min_duration_mins_weekend,min_duration_mins_workday,min_start_mins_of_day_weekend,min_start_mins_of_day_workday,max_duration_mins_weekend,max_duration_mins_workday,max_start_mins_of_day_weekend,max_start_mins_of_day_workday,count_duration_mins_weekend,count_duration_mins_workday,count_start_mins_of_day_weekend,count_start_mins_of_day_workday
152,person2,76,51.22007,4.3798494,1,1,4.0,0.0,1057.0,0.0,,,,,4,0,1057,0,4,0,1057,0,1,0,1,0
153,person2,77,51.058437,3.8553896,1,1,2.0,0.0,1435.0,0.0,,,,,2,0,1435,0,2,0,1435,0,1,0,1,0
154,person2,78,51.225845,4.41247015,2,1,0.0,1.0,0.0,929.0,,,,,0,1,0,929,0,1,0,929,0,1,0,1
155,person2,79,51.16855925,4.386280374999999,4,2,0.0,9.5,0.0,714.5,0.0,3.5355339059327378,0.0,287.79245994292484,0,7,0,511,0,12,0,918,0,2,0,2
156,person2,80,51.161034,4.4173098,1,1,0.0,2.0,0.0,883.0,,,,,0,2,0,883,0,2,0,883,0,1,0,1
157,person2,81,50.83924533333334,4.380936466666667,3,3,0.0,18.666666666666668,0.0,932.6666666666666,0.0,27.15388247255507,0.0,36.1432335760559,0,2,0,907,0,50,0,974,0,3,0,3
158,person2,82,50.842125,4.3750485999999995,1,1,0.0,0.0,0.0,983.0,,,,,0,0,0,983,0,0,0,983,0,1,0,1
159,person2,83,50.862274,4.4483925,2,2,0.0,4.5,0.0,992.5,0.0,6.363961030678928,0.0,4.949747468305833,0,0,0,989,0,9,0,996,0,2,0,2
160,person2,84,50.977643750000006,4.490334425,4,1,0.0,0.0,0.0,1025.0,,,,,0,0,0,1025,0,0,0,1025,0,1,0,1
161,person2,85,51.119679999999995,4.4281816,1,1,0.0,0.0,0.0,1038.0,,,,,0,0,0,1038,0,0,0,1038,0,1,0,1
162,person2,86,51.19824575,4.3718304,4,2,0.0,7.5,0.0,744.5,0.0,3.5355339059327378,0.0,193.04015126392747,0,5,0,608,0,10,0,881,0,2,0,2
